               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085357,            0.030381,                   0,            0.002671,             0.46875,           0.0074956,            0.001655,            0.082915,            0.026117,                   0,            0.070423,           0.0032864,           0.0032864
                   1,            0.067968,            0.029554,                   0,            0.084086,             0.21875,            0.061475,            0.010202,             0.07017,            0.021642,                   0,            0.040313,           0.0065105,           0.0065105
                   2,            0.056956,            0.025561,                   0,              0.0363,             0.03125,            0.018373,           0.0033144,            0.069885,            0.018403,                   0,            0.010094,           0.0096246,           0.0096246
                   3,            0.058609,            0.022283,                   0,            0.052744,               0.375,            0.040129,            0.013664,            0.064535,            0.016429,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.056271,            0.021726,                   0,            0.056702,             0.28125,            0.066799,             0.01263,            0.057425,            0.014162,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.052052,            0.021437,                   0,            0.032778,             0.40625,            0.085266,            0.023228,            0.053253,            0.013893,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.051065,            0.019381,                   0,              0.3523,             0.39116,             0.35883,             0.14382,            0.047691,            0.014312,                   0,            0.009175,            0.009175,            0.009175
                   7,              0.0487,            0.020484,                   0,              0.3469,               0.375,               0.321,              0.1378,            0.047289,            0.014251,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.046078,            0.018472,                   0,             0.35363,             0.28125,              0.2355,              0.1211,            0.051278,            0.013223,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.042325,            0.016007,                   0,              0.5619,             0.34375,             0.31982,              0.1539,            0.050392,            0.012964,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.036201,            0.013621,                   0,             0.27801,             0.28125,              0.2279,             0.10862,            0.052003,             0.01229,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.037806,            0.014791,                   0,             0.34914,             0.30199,             0.24288,              0.1147,            0.051792,            0.012426,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.036456,            0.012603,                   0,             0.45033,                0.25,             0.26345,             0.10767,             0.05312,            0.012548,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.042248,            0.012067,                   0,             0.17058,             0.21875,            0.093926,            0.040129,             0.05699,             0.01394,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.029176,             0.01298,                   0,               0.269,             0.28125,             0.19676,            0.068988,             0.05626,            0.012831,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.035057,            0.012557,                   0,             0.22504,             0.15625,             0.14214,            0.064512,            0.056334,            0.013163,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.032489,            0.010617,                   0,             0.48325,             0.15625,             0.16598,            0.063519,            0.051873,            0.013538,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.035796,            0.011384,                   0,             0.38035,             0.15625,             0.17049,             0.10735,            0.052281,            0.014215,                   0,             0.00736,             0.00736,             0.00736
                  18,             0.02735,            0.011143,                   0,             0.52342,             0.15625,             0.18492,            0.076126,            0.054886,            0.013073,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.028417,           0.0098949,                   0,             0.83318,             0.15611,             0.19692,             0.11586,            0.052415,            0.012938,                   0,             0.00703,             0.00703,             0.00703
                  20,             0.02711,            0.010427,                   0,              0.9064,             0.15625,             0.24543,             0.11161,            0.051207,            0.013027,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.027561,              0.0102,                   0,             0.36812,             0.21875,             0.23273,             0.11779,            0.052606,            0.013467,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.026266,           0.0089655,                   0,             0.40125,             0.25137,              0.2329,             0.10626,            0.051563,            0.013577,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.024824,            0.010581,                   0,              0.4679,             0.28125,             0.25257,            0.095917,            0.051876,            0.013586,                   0,             0.00637,             0.00637,             0.00637
                  24,            0.025015,           0.0097728,                   0,             0.38117,             0.21875,             0.21068,            0.076801,            0.052778,            0.013296,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.024448,           0.0097298,                   0,             0.45719,             0.28125,             0.23211,            0.091508,            0.052567,            0.013544,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.021735,           0.0089863,                   0,             0.52829,             0.35022,             0.28465,             0.11529,            0.050606,            0.013322,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.021538,           0.0093785,                   0,             0.44505,              0.3125,             0.23221,             0.11022,            0.051958,            0.013573,                   0,             0.00571,             0.00571,             0.00571
                  28,            0.019539,           0.0087605,                   0,              0.4429,             0.29849,             0.25845,             0.10436,             0.05307,            0.013151,                   0,            0.005545,            0.005545,            0.005545
                  29,            0.019383,           0.0092009,                   0,             0.48315,              0.3125,             0.25077,            0.089561,            0.053867,            0.013253,                   0,             0.00538,             0.00538,             0.00538
                  30,            0.021949,           0.0087664,                   0,             0.37255,             0.21875,              0.1932,             0.10447,            0.054754,            0.013262,                   0,            0.005215,            0.005215,            0.005215
                  31,            0.021191,           0.0087879,                   0,             0.42184,             0.21875,             0.20984,             0.11789,            0.054605,            0.013339,                   0,             0.00505,             0.00505,             0.00505
