               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078092,            0.031729,                   0,           0.0068484,            0.030303,           0.0047936,           0.0014456,             0.11823,            0.026047,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.065767,            0.030574,                   0,             0.15483,            0.030303,            0.046546,            0.010172,             0.10477,            0.021864,                   0,            0.040367,           0.0065046,           0.0065046
                   2,            0.061449,            0.025777,                   0,           0.0062988,            0.060606,           0.0026416,          0.00052926,             0.10552,            0.019021,                   0,            0.010148,           0.0096188,           0.0096188
                   3,            0.060329,            0.021072,                   0,            0.062277,            0.090909,            0.019219,           0.0045053,             0.10019,            0.020322,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.057242,            0.021003,                   0,            0.012783,            0.090909,            0.013665,           0.0042446,            0.094982,            0.016618,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.048928,            0.019243,                   0,             0.12233,            0.090909,            0.038618,           0.0085528,            0.093485,            0.014959,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.046876,            0.019701,                   0,            0.084523,            0.090909,            0.040467,            0.014645,            0.094129,            0.013829,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.040801,            0.016345,                   0,             0.12544,             0.12121,            0.070981,            0.031901,             0.09033,            0.014717,                   0,             0.00901,             0.00901,             0.00901
                   8,             0.04494,            0.015704,                   0,             0.58515,            0.060606,            0.084275,            0.043713,            0.096096,            0.012055,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.047019,            0.014218,                   0,             0.49612,             0.12121,             0.12871,            0.043618,            0.092742,            0.012641,                   0,             0.00868,             0.00868,             0.00868
                  10,             0.04167,            0.015249,                   0,             0.37274,             0.12121,             0.15607,            0.052505,             0.08766,            0.013361,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.037568,            0.012314,                   0,             0.50794,             0.12554,             0.16117,            0.052358,            0.088012,            0.013389,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.038075,            0.013914,                   0,              0.8069,             0.12121,             0.16592,            0.076443,            0.088693,            0.013262,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.036344,            0.012979,                   0,             0.25715,             0.15152,             0.11662,            0.056574,            0.090566,            0.013087,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.034192,            0.012067,                   0,             0.35157,             0.12121,             0.13342,            0.042203,            0.092074,             0.01307,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.037179,            0.012174,                   0,             0.21943,            0.090909,            0.097937,            0.059604,            0.093616,             0.01258,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.031397,            0.012433,                   0,             0.19072,             0.15152,             0.10917,            0.051186,            0.095538,            0.012003,                   0,            0.007525,            0.007525,            0.007525
                  17,             0.03347,              0.0124,                   0,             0.21735,             0.15152,             0.11879,            0.069471,            0.093049,            0.012155,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.030082,             0.01019,                   0,             0.36811,             0.18182,             0.15945,            0.083953,            0.091401,            0.012158,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.030587,            0.010552,                   0,             0.33688,             0.15152,             0.15224,            0.079375,            0.091886,            0.012699,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.027595,            0.010927,                   0,             0.48101,             0.18182,             0.15867,             0.05547,            0.089824,            0.013346,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.030969,           0.0098644,                   0,             0.54402,             0.18182,             0.16099,            0.077649,            0.089277,            0.013422,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.028779,            0.010238,                   0,             0.55578,             0.18182,             0.19954,            0.082356,            0.089528,            0.013156,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.029808,            0.011079,                   0,             0.87217,             0.20731,             0.24172,             0.11608,            0.088111,            0.012588,                   0,             0.00637,             0.00637,             0.00637
                  24,            0.028854,           0.0099482,                   0,             0.57037,             0.21212,             0.20612,            0.097453,            0.087156,             0.01323,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.026977,            0.010179,                   0,             0.58269,             0.21212,             0.20201,            0.078187,            0.088162,            0.013399,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.026448,             0.01097,                   0,             0.49252,             0.21212,             0.18794,            0.087696,            0.088784,            0.013685,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.028555,            0.010598,                   0,             0.45916,             0.21212,             0.18014,             0.07239,            0.089542,            0.013651,                   0,             0.00571,             0.00571,             0.00571
                  28,            0.025581,            0.010115,                   0,             0.54971,             0.21212,             0.18902,            0.073659,            0.090415,            0.013529,                   0,            0.005545,            0.005545,            0.005545
                  29,            0.029086,            0.010244,                   0,             0.52435,             0.21212,             0.19639,            0.085752,            0.090729,            0.013211,                   0,             0.00538,             0.00538,             0.00538
                  30,            0.024875,           0.0092096,                   0,              0.6517,             0.21212,             0.21373,            0.088962,             0.08965,            0.013405,                   0,            0.005215,            0.005215,            0.005215
                  31,             0.02485,            0.010085,                   0,             0.67444,             0.15152,             0.17526,            0.073398,            0.092025,            0.013414,                   0,             0.00505,             0.00505,             0.00505
