               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081481,            0.031261,                   0,           0.0045163,             0.15152,           0.0027911,          0.00054413,             0.11545,            0.026542,                   0,            0.070545,           0.0032727,           0.0032727
                   1,            0.072936,            0.031437,                   0,           0.0060447,             0.36364,           0.0074054,           0.0018378,              0.1074,            0.022511,                   0,            0.040436,           0.0064971,           0.0064971
                   2,            0.061836,            0.025831,                   0,            0.034258,             0.18182,            0.031231,            0.008749,            0.098252,            0.019333,                   0,            0.010217,           0.0096114,           0.0096114
                   3,            0.058659,            0.024061,                   0,            0.013119,             0.24242,            0.013865,           0.0030652,              0.1004,            0.017418,                   0,            0.009505,            0.009505,            0.009505
                   4,             0.05279,            0.023044,                   0,            0.090798,             0.18182,            0.051263,            0.015383,            0.089961,            0.017777,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.050156,            0.020635,                   0,             0.11245,            0.090909,            0.025064,           0.0045277,            0.093845,            0.015782,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.052083,            0.016713,                   0,             0.13192,             0.36364,            0.090172,            0.034733,            0.085092,             0.01619,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.049712,            0.018249,                   0,             0.23194,             0.27273,             0.12319,            0.038716,            0.089399,            0.014685,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.041719,            0.016194,                   0,             0.27208,             0.21212,             0.16939,            0.066628,            0.081926,            0.015575,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.041083,            0.017311,                   0,             0.33522,             0.29059,             0.20242,             0.07812,            0.082782,            0.014526,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.044455,            0.016656,                   0,              0.3247,             0.15152,             0.13352,            0.057972,            0.089157,            0.013481,                   0,            0.008515,            0.008515,            0.008515
                  11,             0.04033,            0.015254,                   0,             0.27404,             0.18182,             0.16545,             0.06346,            0.085363,            0.013099,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.032864,            0.013418,                   0,             0.38159,             0.18182,             0.17865,            0.076641,            0.089021,            0.011742,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.036391,            0.012427,                   0,             0.44657,             0.18182,             0.21219,             0.10041,            0.085552,            0.012149,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.034929,            0.013215,                   0,              0.4178,             0.21212,             0.18992,            0.075739,            0.084094,            0.012496,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.031265,            0.012031,                   0,             0.25758,             0.24242,             0.17236,            0.089105,            0.085274,             0.01234,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.032797,            0.012065,                   0,             0.33556,             0.15313,             0.20309,             0.10591,            0.083864,            0.012601,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.037842,            0.011667,                   0,             0.65954,             0.24242,              0.2757,              0.1048,            0.083655,            0.011999,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.035302,            0.011273,                   0,             0.79911,             0.24121,             0.26682,             0.14005,            0.082819,             0.01225,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.029843,            0.011938,                   0,             0.26017,             0.18182,             0.12429,            0.055613,            0.088541,            0.012297,                   0,             0.00703,             0.00703,             0.00703
